PRODUCT_ID,CATEGORY_ID
"3708","1320"
"11001","1000"
"11002","1000"
"11003","1000"
"11004","1000"
"11005","1000"
"247801","1320"
"268000","1320"
"270818","1320"
"297357","1320"
"374203","1320"
"656359","1320"
"2324878","1320"
"2440185","1320"
"2448186","1320"
"2450811","1320"
"2450865","1320"
"2461918","1320"
"2515600","1320"
"2617101","1320"
"2621577","1320"
"2622801","1320"
"2630484","1320"
"2721409","1320"
"2937958","1320"
"3300000","1320"
"3660055","1320"
"5761327","1320"
"5880582","4650"
"5890217","4650"
"5890238","4323"
"5890239","4650"
"5890240","4323"
"5890242","4323"
"5890243","1255"
"5890244","1255"
"5890245","1255"
"5890246","1255"
"5890247","1255"
"5890249","1271"
"5890250","1271"
"5890252","1271"
"5890253","1271"
"5937584","4323"
"5966504","4650"
"5966505","4650"
"6733519","1310"
"7892667","1396"
"7892847","1310"
"7892852","1396"
"7931172","4650"
"7945749","1320"
"8011925","1396"
"9010636","1396"
"9013599","1481"
"9588199","2022"
"9611164","1396"
"10756111","1255"
"10756112","1255"
"11044358","1255"
"11044359","1255"
"11044360","1255"
"11044361","2689"
"11044363","1271"
"11227289","1396"
"11270934","1396"
"11708848","1320"
"11856354","1255"
"11998395","1396"
"11998396","1396"
"11998424","1396"
"11998534","1396"
"12396542","4323"
"12397657","1396"
"12849185","1717"
"12849186","1310"
"12849188","1717"
"13535151","1396"
"13570244","1396"
"13570270","1396"
"13705079","1396"
"13841863","1396"
"13841889","1396"
"13841909","1396"
"13841939","1396"
"13842025","6021"
"13842051","1396"
"14226942","1396"
"14707553","4323"
"14710641","1396"
"14710642","1396"
"14797418","1320"
"14870450","4430"
"15974268","1396"
"16719959","1271"
"17378531","1717"
"17496610","1420"
"17496683","1396"
"17496685","1396"
"17496711","1396"
"17496718","1396"
"17496729","1396"
"17546843","1396"
"17546854","1396"
"17727051","1310"
"17727208","1396"
"17727332","1396"
"17727339","1396"
"17727444","1396"
"17727558","1396"
"17831494","1717"
"18642731","4650"
"18657018","4430"
"19203953","4430"
"19323878","1310"
"19358907","1310"
"19528657","1320"
"19532557","1320"
"19535626","1396"
"19536431","1320"
"19881101","1396"
"20120810","1320"
"20145999","4650"
"20949299","1420"
"20949311","1717"
"20949394","1717"
"20949417","2022"
"21544641","1320"
"21735084","1320"
"21842477","4650"
